ἡ χώρα: τὴν ________; τὴν χώρᾱν<br><br>τῆς χώρᾱς
ὁ/ἡ αἴξ: ῶ/ῶ ________; ῶ/ῶ αἴξ<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τοὺς/τὰς ________; τοὺς/τὰς αἶγᾰς<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τῶν/τῶν ________; τῶν/τῶν αἰγῶν<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: οἱ/αἱ ________; οἱ/αἱ αἶγες<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τοῖς/ταῖς ________; τοῖς/ταῖς αἰξί(ν)<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τοῖν/τοῖν ________; τοῖν/τοῖν αἰγοῖν<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τὼ/τὼ ________; τὼ/τὼ αἶγε<br><br>τοῦ/τῆς αἰγός
ἡ θρίξ: τὴν ________; τὴν τρίχᾰ<br><br>τῆς τρῐχός
ἡ θρίξ: τῆς ________; τῆς τρῐχός<br><br>τῆς τρῐχός
ἡ θρίξ: ἡ ________; ἡ θρίξ<br><br>τῆς τρῐχός
ἡ θρίξ: τῇ ________; τῇ τρῐχί<br><br>τῆς τρῐχός
ἡ θρίξ: ῶ ________; ῶ θρίξ<br><br>τῆς τρῐχός
ἡ θρίξ: τὰς ________; τὰς τρίχᾰς<br><br>τῆς τρῐχός
ἡ θρίξ: τῶν ________; τῶν τρῐχῶν<br><br>τῆς τρῐχός
ἡ θρίξ: αἱ ________; αἱ τρίχες<br><br>τῆς τρῐχός
ἡ θρίξ: ταῖς ________; ταῖς θριξί(ν)<br><br>τῆς τρῐχός
ἡ θρίξ: τοῖν ________; τοῖν τρῐχοῖν<br><br>τῆς τρῐχός
ἡ θρίξ: τὼ ________; τὼ τρίχε<br><br>τῆς τρῐχός
ὁ θής: τὸν ________; τὸν θῆτᾰ<br><br>τοῦ θητός
ὁ θής: τοῦ ________; τοῦ θητός<br><br>τοῦ θητός
ὁ θής: ὁ ________; ὁ θής<br><br>τοῦ θητός
ὁ θής: τῷ ________; τῷ θητί<br><br>τοῦ θητός
ὁ θής: ῶ ________; ῶ θής<br><br>τοῦ θητός
ὁ θής: τοὺς ________; τοὺς θῆτᾰς<br><br>τοῦ θητός
ὁ θής: τῶν ________; τῶν θητῶν<br><br>τοῦ θητός
ὁ θής: οἱ ________; οἱ θῆτες<br><br>τοῦ θητός
ὁ θής: τοῖς ________; τοῖς θησί(ν)<br><br>τοῦ θητός
ὁ θής: τοῖν ________; τοῖν θητοῖν<br><br>τοῦ θητός
ὁ θής: τὼ ________; τὼ θῆτε<br><br>τοῦ θητός
ἡ ἐλπίς: τὴν ________; τὴν ἐλπίδᾰ<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τῆς ________; τῆς ἐλπίδος<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: ἡ ________; ἡ ἐλπίς<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τῇ ________; τῇ ἐλπίδῐ<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: ῶ ________; ῶ ἐλπί<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τὰς ________; τὰς ἐλπίδᾰς<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τῶν ________; τῶν ἐλπίδων<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: αἱ ________; αἱ ἐλπίδες<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: ταῖς ________; ταῖς ἐλπίσῐ(ν)<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τοῖν ________; τοῖν ἐλπίδοιν<br><br>τῆς ἐλπίδος
ἡ ἐλπίς: τὼ ________; τὼ ἐλπίδε<br><br>τῆς ἐλπίδος
ἡ χάρις: τὴν ________; τὴν χάριν<br><br>τῆς χάρῐτος
ἡ χάρις: τῆς ________; τῆς χάρῐτος<br><br>τῆς χάρῐτος
ἡ χάρις: ἡ ________; ἡ χάρῐς<br><br>τῆς χάρῐτος
ἡ χάρις: τῇ ________; τῇ χάρῐτῐ<br><br>τῆς χάρῐτος
ἡ χάρις: ῶ ________; ῶ χάρῐ<br><br>τῆς χάρῐτος
ἡ χάρις: τὰς ________; τὰς χάρῐτᾰς<br><br>τῆς χάρῐτος
ἡ χάρις: τῶν ________; τῶν χᾰρίτων<br><br>τῆς χάρῐτος
ἡ χάρις: αἱ ________; αἱ χάρῐτες<br><br>τῆς χάρῐτος
ἡ χάρις: ταῖς ________; ταῖς χάρῐσῐ(ν)<br><br>τῆς χάρῐτος
ἡ χάρις: τοῖν ________; τοῖν χᾰρίτοιν<br><br>τῆς χάρῐτος
ἡ χάρις: τὼ ________; τὼ χάρῐτε<br><br>τῆς χάρῐτος
ὁ/ἡ ὄρνις: τὸν/τὴν ________; τὸν/τὴν ὄρνῑν<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τοῦ/τῆς ________; τοῦ/τῆς ὄρνῑθος<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: ὁ/ἡ ________; ὁ/ἡ ὄρνῑς<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τῷ/τῇ ________; τῷ/τῇ ὄρνῑθῐ<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: ῶ/ῶ ________; ῶ/ῶ ὄρνῑ<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τοὺς/τὰς ________; τοὺς/τὰς ὄρνῑθᾰς<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τῶν/τῶν ________; τῶν/τῶν ὀρνίθων<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: οἱ/αἱ ________; οἱ/αἱ ὄρνῑθες<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τοῖς/ταῖς ________; τοῖς/ταῖς ὄρνῑσῐ(ν)<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τοῖν/τοῖν ________; τοῖν/τοῖν ὀρνίθοιν<br><br>τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις: τὼ/τὼ ________; τὼ/τὼ ὄρνῑθε<br><br>τοῦ/τῆς ὄρνῑθος
ὁ Γίγας: τὸν ________; τὸν Γίγαντᾰ<br><br>τοῦ Γίγαντος
ὁ Γίγας: τοῦ ________; τοῦ Γίγαντος<br><br>τοῦ Γίγαντος
ὁ Γίγας: ὁ ________; ὁ Γίγᾱς<br><br>τοῦ Γίγαντος
ὁ Γίγας: τῷ ________; τῷ Γίγαντῐ<br><br>τοῦ Γίγαντος
ὁ Γίγας: ῶ ________; ῶ Γίγᾰν<br><br>τοῦ Γίγαντος
ὁ Γίγας: τοὺς ________; τοὺς Γίγαντᾰς<br><br>τοῦ Γίγαντος
ὁ Γίγας: τῶν ________; τῶν Γῐγάντων<br><br>τοῦ Γίγαντος
ὁ Γίγας: οἱ ________; οἱ Γίγαντες<br><br>τοῦ Γίγαντος
ὁ Γίγας: τοῖς ________; τοῖς Γίγᾱσῐ(ν)<br><br>τοῦ Γίγαντος
ὁ Γίγας: τοῖν ________; τοῖν Γῐγάντοιν<br><br>τοῦ Γίγαντος
ὁ Γίγας: τὼ ________; τὼ Γίγαντε<br><br>τοῦ Γίγαντος
ὁ γέρων: τὸν ________; τὸν γέροντᾰ<br><br>τοῦ γέροντος
ὁ γέρων: τοῦ ________; τοῦ γέροντος<br><br>τοῦ γέροντος
ὁ γέρων: ὁ ________; ὁ γέρων<br><br>τοῦ γέροντος
ὁ γέρων: τῷ ________; τῷ γέροντῐ<br><br>τοῦ γέροντος
ὁ γέρων: ῶ ________; ῶ γέρον<br><br>τοῦ γέροντος
ὁ γέρων: τοὺς ________; τοὺς γέροντᾰς<br><br>τοῦ γέροντος
ὁ γέρων: τῶν ________; τῶν γερόντων<br><br>τοῦ γέροντος
ὁ γέρων: οἱ ________; οἱ γέροντες<br><br>τοῦ γέροντος
ὁ γέρων: τοῖς ________; τοῖς γέρουσῐ(ν)<br><br>τοῦ γέροντος
ὁ γέρων: τοῖν ________; τοῖν γερόντοιν<br><br>τοῦ γέροντος
ὁ γέρων: τὼ ________; τὼ γέροντε<br><br>τοῦ γέροντος
τὸ σῶμα: τοῦ ________; τοῦ σώμᾰτος<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τὸ ________; τὸ σῶμᾰ<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τῷ ________; τῷ σώμᾰτῐ<br><br>τοῦ σώμᾰτος
τὸ σῶμα: ῶ ________; ῶ σῶμᾰ<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τῶν ________; τῶν σωμάτων<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τὰ ________; τὰ σώμᾰτᾰ<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τοῖς ________; τοῖς σώμᾰσῐ(ν)<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τοῖν ________; τοῖν σωμάτοιν<br><br>τοῦ σώμᾰτος
τὸ σῶμα: τὼ ________; τὼ σώμᾰτε<br><br>τοῦ σώμᾰτος
τὸ ἧπαρ: τοῦ ________; τοῦ (ι̯ήπατος) ἥπατος<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: ῶ ________; ῶ ἧπαρ<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τὸ ________; τὸ ἧπαρ<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τῷ ________; τῷ ἥπατῐ<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τῶν ________; τῶν ἡπάτων<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τὰ ________; τὰ ἥπατᾰ<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τοῖς ________; τοῖς ἥπασῐ(ν)<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τοῖν ________; τοῖν ἡπάτοιν<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ ἧπαρ: τὼ ________; τὼ ἥπατε<br><br>τοῦ (ι̯ήπατος) ἥπατος
τὸ τέρας: τοῦ ________; τοῦ τέρατος<br><br>τοῦ τέρατος
τὸ τέρας: τὸ ________; τὸ τέρας<br><br>τοῦ τέρατος
τὸ τέρας: τῷ ________; τῷ τέρατῐ<br><br>τοῦ τέρατος
τὸ τέρας: ῶ ________; ῶ τέρας<br><br>τοῦ τέρατος
τὸ τέρας: τῶν ________; τῶν τεράτων<br><br>τοῦ τέρατος
τὸ τέρας: τὰ ________; τὰ τέρατᾰ<br><br>τοῦ τέρατος
τὸ τέρας: τοῖς ________; τοῖς τέρασῐ(ν)<br><br>τοῦ τέρατος
τὸ τέρας: τοῖν ________; τοῖν τεράτοιν<br><br>τοῦ τέρατος
τὸ τέρας: τὼ ________; τὼ τέρατε<br><br>τοῦ τέρατος
τὸ κέρας: τοῦ ________; τοῦ κέρᾱτος / (κέρασος) κέρως<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: ῶ ________; ῶ κέρας<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τὸ ________; τὸ κέρας<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τῷ ________; τῷ κέρατι / κέραι<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τῶν ________; τῶν κεράτων / κερῶν<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τὰ ________; τὰ κέρατα / κέρᾱ<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τοῖς ________; τοῖς κέρᾱσι(ν)<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τοῖν ________; τοῖν κεράτοιν / κερῷν<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
τὸ κέρας: τὼ ________; τὼ κέρατε / κέρᾱ<br><br>τοῦ κέρᾱτος / (κέρασος) κέρως
ὁ θήρ: τὸν ________; τὸν θῆρᾰ<br><br>τοῦ θηρός
ὁ θήρ: τοῦ ________; τοῦ θηρός<br><br>τοῦ θηρός
ὁ θήρ: ὁ ________; ὁ θήρ<br><br>τοῦ θηρός
ὁ θήρ: τῷ ________; τῷ θηρί<br><br>τοῦ θηρός
ὁ θήρ: ῶ ________; ῶ θήρ<br><br>τοῦ θηρός
ὁ θήρ: τοὺς ________; τοὺς θῆρᾰς<br><br>τοῦ θηρός
ὁ θήρ: τῶν ________; τῶν θηρῶν<br><br>τοῦ θηρός
ὁ θήρ: οἱ ________; οἱ θῆρες<br><br>τοῦ θηρός
ὁ θήρ: τοῖς ________; τοῖς θηρσί(ν)<br><br>τοῦ θηρός
ὁ θήρ: τοῖν ________; τοῖν θηροῖν<br><br>τοῦ θηρός
ὁ θήρ: τὼ ________; τὼ θῆρε<br><br>τοῦ θηρός
ὁ ῥήτωρ: τὸν ________; τὸν ῥήτορᾰ<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τοῦ ________; τοῦ ῥήτορος<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: ὁ ________; ὁ ῥήτωρ<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τῷ ________; τῷ ῥήτορῐ<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: ῶ ________; ῶ ῥῆτορ<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τοὺς ________; τοὺς ῥήτορᾰς<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τῶν ________; τῶν ῥητόρων<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: οἱ ________; οἱ ῥήτορες<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τοῖς ________; τοῖς ῥήτορσῐ(ν)<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τοῖν ________; τοῖν ῥητόροιν<br><br>τοῦ ῥήτορος
ὁ ῥήτωρ: τὼ ________; τὼ ῥήτορε<br><br>τοῦ ῥήτορος
ἡ ῥίς: τὴν ________; τὴν ῥῖνᾰ<br><br>τῆς ῥῑνός
ἡ ῥίς: τῆς ________; τῆς ῥῑνός<br><br>τῆς ῥῑνός
ἡ ῥίς: ἡ ________; ἡ ῥί̄ς<br><br>τῆς ῥῑνός
ἡ ῥίς: τῇ ________; τῇ ῥινί<br><br>τῆς ῥῑνός
ἡ ῥίς: ῶ ________; ῶ ῥί̄ς<br><br>τῆς ῥῑνός
ἡ ῥίς: τὰς ________; τὰς ῥῖνᾰς<br><br>τῆς ῥῑνός
ἡ ῥίς: τῶν ________; τῶν ῥινῶν<br><br>τῆς ῥῑνός
ἡ ῥίς: αἱ ________; αἱ ῥῖνες<br><br>τῆς ῥῑνός
ἡ ῥίς: ταῖς ________; ταῖς ῥισί(ν)<br><br>τῆς ῥῑνός
ἡ ῥίς: τοῖν ________; τοῖν ῥινοῖν<br><br>τῆς ῥῑνός
ἡ ῥίς: τὼ ________; τὼ ῥῖνε<br><br>τῆς ῥῑνός
ὁ ἡγεμών: τὸν ________; τὸν ἡγεμόνᾰ<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τοῦ ________; τοῦ ἡγεμόνος<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: ὁ ________; ὁ ἡγεμών<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τῷ ________; τῷ ἡγεμόνῐ<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: ῶ ________; ῶ ἡγεμών<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τοὺς ________; τοὺς ἡγεμόνᾰς<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τῶν ________; τῶν ἡγεμόνων<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: οἱ ________; οἱ ἡγεμόνες<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τοῖς ________; τοῖς ἡγεμοῦσῐ(ν)<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τοῖν ________; τοῖν ἡγεμόνοιν<br><br>τοῦ ἡγεμόνος
ὁ ἡγεμών: τὼ ________; τὼ ἡγεμόνε<br><br>τοῦ ἡγεμόνος
ὁ ἀγών: τὸν ________; τὸν ἀγῶνᾰ<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τοῦ ________; τοῦ ἀγῶνος<br><br>τοῦ ἀγῶνος
ὁ ἀγών: ὁ ________; ὁ ἀγών<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τῷ ________; τῷ ἀγῶνῐ<br><br>τοῦ ἀγῶνος
ὁ ἀγών: ῶ ________; ῶ ἀγών<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τοὺς ________; τοὺς ἀγῶνᾰς<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τῶν ________; τῶν ἀγώνων<br><br>τοῦ ἀγῶνος
ὁ ἀγών: οἱ ________; οἱ ἀγῶνες<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τοῖς ________; τοῖς ἀγῶσῐ(ν)<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τοῖν ________; τοῖν ἀγώνοιν<br><br>τοῦ ἀγῶνος
ὁ ἀγών: τὼ ________; τὼ ἀγῶνε<br><br>τοῦ ἀγῶνος
ὁ ποιμήν: τὸν ________; τὸν ποιμένᾰ<br><br>τοῦ ποιμένος
ὁ ποιμήν: τοῦ ________; τοῦ ποιμένος<br><br>τοῦ ποιμένος
ὁ ποιμήν: ὁ ________; ὁ ποιμήν<br><br>τοῦ ποιμένος
ὁ ποιμήν: τῷ ________; τῷ ποιμένῐ<br><br>τοῦ ποιμένος
ὁ ποιμήν: ῶ ________; ῶ ποιμήν<br><br>τοῦ ποιμένος
ὁ ποιμήν: τοὺς ________; τοὺς ποιμένᾰς<br><br>τοῦ ποιμένος
ὁ ποιμήν: τῶν ________; τῶν ποιμένων<br><br>τοῦ ποιμένος
ὁ ποιμήν: οἱ ________; οἱ ποιμένες<br><br>τοῦ ποιμένος
ὁ ποιμήν: τοῖς ________; τοῖς ποιμεῖσῐ(ν)<br><br>τοῦ ποιμένος
ὁ ποιμήν: τοῖν ________; τοῖν ποιμένοιν<br><br>τοῦ ποιμένος
ὁ ποιμήν: τὼ ________; τὼ ποιμένε<br><br>τοῦ ποιμένος
ὁ πατήρ: τὸν ________; τὸν πᾰτέρᾰ<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τοῦ ________; τοῦ πᾰτέρος<br><br>τοῦ πᾰτέρος
ὁ πατήρ: ὁ ________; ὁ πᾰτήρ<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τῷ ________; τῷ πᾰτέρῐ<br><br>τοῦ πᾰτέρος
ὁ πατήρ: ῶ ________; ῶ πάτερ<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τοὺς ________; τοὺς πᾰτέρᾰς<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τῶν ________; τῶν πᾰτέρων<br><br>τοῦ πᾰτέρος
ὁ πατήρ: οἱ ________; οἱ πᾰτέρες<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τοῖς ________; τοῖς πᾰτράσῐ(ν)<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τοῖν ________; τοῖν πᾰτέροιν<br><br>τοῦ πᾰτέρος
ὁ πατήρ: τὼ ________; τὼ πᾰτέρε<br><br>τοῦ πᾰτέρος
ἡ μήτηρ: τὴν ________; τὴν μητέρα<br><br>τῆς μητρός
ἡ μήτηρ: τῆς ________; τῆς μητρός<br><br>τῆς μητρός
ἡ μήτηρ: ἡ ________; ἡ μήτηρ<br><br>τῆς μητρός
ἡ μήτηρ: τῇ ________; τῇ μητρί<br><br>τῆς μητρός
ἡ μήτηρ: ῶ ________; ῶ μῆτερ<br><br>τῆς μητρός
ἡ μήτηρ: τὰς ________; τὰς μητέρας<br><br>τῆς μητρός
ἡ μήτηρ: τῶν ________; τῶν μητέρων<br><br>τῆς μητρός
ἡ μήτηρ: αἱ ________; αἱ μητέρες<br><br>τῆς μητρός
ἡ μήτηρ: ταῖς ________; ταῖς μητράσι(ν)<br><br>τῆς μητρός
ἡ μήτηρ: τοῖν ________; τοῖν μητέροιν<br><br>τῆς μητρός
ἡ μήτηρ: τὼ ________; τὼ μητέρε<br><br>τῆς μητρός
ἡ θυγάτηρ: τὴν ________; τὴν θυγατέρᾰ<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τῆς ________; τῆς θυγατέρος<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: ἡ ________; ἡ θυγάτηρ<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τῇ ________; τῇ θυγατέρῐ<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: ῶ ________; ῶ θύγατερ<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τὰς ________; τὰς θυγατέρᾰς<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τῶν ________; τῶν θυγατέρων<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: αἱ ________; αἱ θυγατέρες<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: ταῖς ________; ταῖς θυγατράσι<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τοῖν ________; τοῖν θυγατέροιν<br><br>τῆς θυγατέρος
ἡ θυγάτηρ: τὼ ________; τὼ θυγατέρε<br><br>τῆς θυγατέρος
ὁ ἀνήρ: τὸν ________; τὸν ἄνδρα<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τοῦ ________; τοῦ ἀνδρός<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: ὁ ________; ὁ ἀνήρ<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τῷ ________; τῷ ἀνδρί<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: ῶ ________; ῶ ἄνερ<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τοὺς ________; τοὺς ἄνδρας<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τῶν ________; τῶν ἀνδρῶν<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: οἱ ________; οἱ ἄνδρες<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τοῖς ________; τοῖς ἀνδράσι(ν)<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τοῖν ________; τοῖν ἀνδροῖν<br><br>τοῦ ἀνδρός
ὁ ἀνήρ: τὼ ________; τὼ ἄνδρε<br><br>τοῦ ἀνδρός
ὁ Σωκράτης: τὸν ________; τὸν (Σωκράτεα) Σωκράτη / Σωκράτην<br><br>τοῦ (Σωκράτεσος) Σωκράτους
ὁ Σωκράτης: τοῦ ________; τοῦ (Σωκράτεσος) Σωκράτους<br><br>τοῦ (Σωκράτεσος) Σωκράτους
ὁ Σωκράτης: ὁ ________; ὁ Σωκράτης<br><br>τοῦ (Σωκράτεσος) Σωκράτους
ὁ Σωκράτης: τῷ ________; τῷ (Σωκράτει) Σωκράτει<br><br>τοῦ (Σωκράτεσος) Σωκράτους
ὁ Σωκράτης: ῶ ________; ῶ Σώκρατες<br><br>τοῦ (Σωκράτεσος) Σωκράτους
ὁ Δημοσθένης: τὸν ________; τὸν Δημοσθένη<br><br>τοῦ Δημοσθένους
ὁ Δημοσθένης: τοῦ ________; τοῦ Δημοσθένους<br><br>τοῦ Δημοσθένους
ὁ Δημοσθένης: ὁ ________; ὁ Δημοσθένης<br><br>τοῦ Δημοσθένους
ὁ Δημοσθένης: τῷ ________; τῷ Δημοσθένει<br><br>τοῦ Δημοσθένους
ὁ Δημοσθένης: ῶ ________; ῶ Δημόσθενες<br><br>τοῦ Δημοσθένους
ἡ τριήρης: τὴν ________; τὴν (τριήρεα) τριήρη<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τῆς ________; τῆς (τριήρεσος) τριήρους<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: ἡ ________; ἡ τριήρης<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τῇ ________; τῇ (τριήρεϊ) τριήρει<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: ῶ ________; ῶ τριῆρες<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τὰς ________; τὰς τριήρεις<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τῶν ________; τῶν (τριηρέων) τριήρων<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: αἱ ________; αἱ (τριήρεες) τριήρεις<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: ταῖς ________; ταῖς (τριήρεσσι) τριήρεσι(ν)<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τοῖν ________; τοῖν (τριηρέοιν) τριήροιν<br><br>τῆς (τριήρεσος) τριήρους
ἡ τριήρης: τὼ ________; τὼ (τριήρεε) τριήρει<br><br>τῆς (τριήρεσος) τριήρους
τὸ γένος: τοῦ ________; τοῦ (γένεσος) γένους<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τὸ ________; τὸ γένος<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τῷ ________; τῷ (γένεϊ) γένει<br><br>τοῦ (γένεσος) γένους
τὸ γένος: ῶ ________; ῶ γένος<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τῶν ________; τῶν γενέων / γενῶν<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τὰ ________; τὰ (γένεα) γένη<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τοῖς ________; τοῖς (γένεσσι) γένεσι(ν)<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τοῖν ________; τοῖν (γενέοιν) γενοῖν<br><br>τοῦ (γένεσος) γένους
τὸ γένος: τὼ ________; τὼ (γένεε) γένει<br><br>τοῦ (γένεσος) γένους
τὸ γέρας: τοῦ ________; τοῦ (γέρασος) γέρως<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τὸ ________; τὸ γέρας<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τῷ ________; τῷ γέραι / γέρᾳ<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: ῶ ________; ῶ γέρας<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τῶν ________; τῶν (γεράων) γερῶν<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τὰ ________; τὰ (γέραα) γέρᾱ<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τοῖς ________; τοῖς (γέρασσι) γέρασι(ν)<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τοῖν ________; τοῖν (γεράοιν) γερῷν<br><br>τοῦ (γέρασος) γέρως
τὸ γέρας: τὼ ________; τὼ (γέραε) γέρᾱ<br><br>τοῦ (γέρασος) γέρως
τὸ δέος: τοῦ ________; τοῦ (δέεσος) δέους<br><br>τοῦ (δέεσος) δέους
τὸ δέος: τὸ ________; τὸ δέος<br><br>τοῦ (δέεσος) δέους
τὸ δέος: τῷ ________; τῷ (δέει) δέει<br><br>τοῦ (δέεσος) δέους
τὸ δέος: ῶ ________; ῶ δέος<br><br>τοῦ (δέεσος) δέους
ὁ Περικλῆς: τὸν ________; τὸν Περικλέᾱ<br><br>τοῦ (Περικλέεσος) Περικλέους
ὁ Περικλῆς: τοῦ ________; τοῦ (Περικλέεσος) Περικλέους<br><br>τοῦ (Περικλέεσος) Περικλέους
